Compound,MW,LogP,HBD,HBA,Aromatic_Ring_Number,TPSA,RotB,QED,Formal_Charge,SA_score,PAINS,BRENK,NIH,Solubility_AqSolDB,hERG,Caco2_Wang,BBB_Martins,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,PAMPA_NCATS,PPBR_AZ,Structural_flag,ADMET_flag
CC(CN(C)C(=O)CCC(C)(C)c1ccccc1)c1nccs1,330.5,4.46,0,3,2,33.2,7,0.75,0,3.04,False,False,False,-3.87,0.88,-4.55,0.95,148.37,119.1,0.97,89.26,False,True
Clc1ccc(-c2nccn2-c2ccccc2)c2ccccc12,304.78,5.35,0,1,4,17.82,2,0.49,0,1.98,False,False,False,-5.96,0.7,-4.76,0.92,99.03,83.1,0.92,99.67,True,True
Cn1cc(NC(=O)c2ccc(C(C)(F)F)nc2)c(Br)n1,345.15,2.94,1,3,2,59.81,3,0.93,0,2.71,False,False,False,-3.38,0.16,-4.75,0.81,19.37,11.26,0.96,76.44,False,True
CCCC(C)COC(=O)c1nc(NCc2ccccc2)ncc1Cl,347.85,4.34,1,5,2,64.11,8,0.72,0,2.69,False,False,False,-6.06,0.82,-4.98,0.96,183.91,181.94,0.98,104.82,False,True
CC(C)(C)OC(=O)N1CCC=C(CNc2ccc(Oc3ccccc3)cn2)C1,381.48,4.85,1,5,2,63.69,5,0.75,0,2.49,False,True,False,-5.65,0.86,-4.85,0.88,122.7,129.63,0.97,102.67,True,True
COC(=O)C1CC(NC(=O)C(=O)NCCCC2CCC2)CCO1,326.39,0.52,2,5,0,93.73,6,0.42,0,3.29,False,True,True,-2.65,0.07,-4.82,0.96,36.15,35.41,0.94,65.1,True,True
CC(C)(CC(=O)Nc1c[nH]c2nccn2c1=O)c1ccc(N)cc1,325.37,1.91,3,4,3,105.28,4,0.64,0,2.92,False,True,False,-4.42,0.59,-5.23,0.3,24.87,17.36,0.57,79.45,True,True
Cc1nnc(CNC(=O)NCc2cc(I)ccc2Br)n1C,464.11,2.49,2,3,2,71.84,4,0.68,0,2.51,False,True,False,-2.95,0.31,-5.21,0.95,21.95,5.78,0.91,84.25,True,True
Cc1cnc(NC(C)(C)COc2ncccc2Br)s1,342.26,3.88,1,5,2,47.04,5,0.9,0,2.85,False,False,False,-4.91,0.45,-4.7,0.93,116.34,98.56,0.99,98.56,False,True
O=C(CC1CSc2ccccc2O1)NS(=O)(=O)CCCF,333.41,1.74,1,5,1,72.47,6,0.86,0,3.33,False,False,False,-3.33,0.15,-4.66,0.91,20.73,8.27,0.89,88.33,False,True
CN(Cc1ncccn1)CC(O)c1cc(Br)no1,313.16,1.39,1,6,2,75.28,5,0.9,0,3.47,False,False,False,-1.03,0.13,-4.95,0.8,12.21,-6.1,0.72,40.93,False,False
Cc1cc(CS(=O)(=O)NC(=O)CC(C)NC(=O)C2CCCCC2)no1,371.46,1.4,2,6,1,118.37,7,0.75,0,2.99,False,False,False,-2.31,0.05,-5.29,0.64,4.46,4.32,0.63,69.64,False,False
Cc1nc(CSc2nc3cnc(Cl)cc3s2)c(C)s1,327.89,4.71,0,6,3,38.67,3,0.52,0,2.91,False,True,False,-4.28,0.3,-4.7,0.8,97.2,74.12,0.97,94.96,True,True
Cc1ccc(NC(=O)CSc2ccncc2C)c(Br)c1,351.27,4.19,1,3,2,41.99,4,0.84,0,2.15,False,False,False,-4.54,0.67,-4.68,0.82,135.56,109.42,0.96,95.09,False,True
COC(=O)c1cc(NC(=S)NC2CC(S(C)(=O)=O)C2)cs1,348.47,1.4,2,6,1,84.5,4,0.63,0,2.9,False,True,False,-3.16,0.17,-4.83,0.78,39.62,37.92,0.91,74.51,True,True
CCn1nnc2cc(CNc3cscc3-c3ccncc3)ccc21,335.44,4.19,1,5,4,55.63,5,0.59,0,2.61,False,False,False,-4.05,0.9,-5.16,0.84,87.28,79.18,0.95,92.52,False,True
O=C(COC(=O)c1ccc(-c2ccccc2OC(F)(F)F)cc1F)NCC#Cc1cccc(C(F)(F)F)c1,539.4,5.73,1,4,3,64.63,6,0.25,0,2.67,False,True,False,-7.19,0.57,-4.86,0.83,65.79,102.01,0.9,103.55,True,True
O=C(Nc1nc(Sc2ccccc2)ns1)N1CCCC=C1Cl,352.87,4.4,1,5,2,58.12,3,0.83,0,2.97,False,True,False,-4.87,0.22,-4.69,0.73,90.28,70.81,0.96,97.91,True,True
O=S1(=O)CCC(=Cc2nnc(C3CC3)c3ccccc23)CC1,314.41,3.1,0,4,2,59.92,2,0.85,0,3.19,False,False,False,-4.04,0.28,-4.62,0.95,26.64,15.35,0.92,89.7,False,True
CC(Cc1cc(F)c(F)cc1F)NC(=O)Cc1ccncc1Cl,342.75,3.44,1,2,2,41.99,5,0.85,0,2.77,False,True,False,-3.27,0.76,-4.25,0.93,45.48,26.35,0.98,74.22,True,True
COCCC1(CNc2ccc(N3CCCS3(=O)=O)cn2)CC1,325.43,1.85,1,5,1,71.53,7,0.83,0,2.93,False,False,False,-3.04,0.59,-4.71,0.92,36.43,17.35,0.86,64.56,False,True
CCOC(=O)C(F)(CNC(=O)C(=O)Nc1ccccc1N1CCCC1)C(=O)OCC,423.44,1.18,2,7,1,114.04,8,0.37,0,2.6,False,True,True,-3.71,0.32,-4.78,0.82,96.98,117.37,0.93,86.73,True,True
CN(C)C(C(=O)OCc1cc(F)nc(F)c1)c1cscn1,313.33,2.16,0,6,2,55.32,5,0.63,0,3.59,False,True,False,-2.5,0.23,-4.45,0.91,76.35,60.14,0.92,64.59,True,True
Cc1nc(Cl)ncc1NC(=O)Nc1cc(Cl)ccc1Cl,331.59,4.39,2,3,2,66.91,2,0.8,0,2.26,False,False,False,-4.66,0.31,-4.78,0.74,64.22,42.83,0.93,93.43,False,True
CN1CCN(c2ccnc(NC(=O)NOCC3(C)CCCO3)c2)CC1,349.44,1.46,2,6,1,78.96,5,0.78,0,3.38,False,True,False,-2.42,0.39,-4.88,0.92,24.43,7.79,0.85,45.91,True,True
CCCCCc1ccc(C(=O)OCC(=O)NC(=O)N=S(C)(C)=O)o1,358.42,2.13,1,6,1,115.04,7,0.59,0,2.8,False,True,False,-3.86,0.1,-4.55,0.89,82.5,70.96,0.96,95.36,True,True
Cc1onc(Br)c1CNc1cccc(Cc2nc3ccccc3[nH]2)c1,397.28,4.82,2,4,4,66.74,5,0.51,0,2.51,False,False,False,-5.38,0.83,-5.02,0.82,60.03,58.41,0.93,101.31,False,True
CS(=O)(=O)C1CSCCN1c1ncc(-c2ccccc2)cn1,335.45,2.07,0,6,2,63.16,3,0.86,0,2.99,False,False,False,-4.18,0.22,-4.87,0.92,46.44,40.58,0.92,94.87,False,True
COCCN(Cc1ccc(C)c(C)c1)Cc1ccc2conc2c1,324.42,4.09,0,4,3,38.5,7,0.66,0,2.49,False,False,False,-4.23,0.97,-5.05,0.97,120.91,110.51,0.93,95.21,False,True
COc1ccc(-c2ccc(N3CCC3=O)cc2)c2ccccc12,303.36,4.25,0,2,3,29.54,3,0.68,0,1.85,False,False,True,-5.76,0.55,-4.56,0.92,85.71,67.16,0.95,101.39,True,True
Cc1noc(C(=O)NNC(=O)CC2CCCCC2)c1C(=O)O,309.32,1.41,3,5,1,121.53,4,0.72,0,2.46,False,True,False,-2.57,0.06,-5.23,0.59,-0.42,0.03,0.27,74.87,True,True
O=C(NCC(F)C1CCCCC1)C(=O)NOC1CCOC1,302.35,0.86,2,4,0,76.66,5,0.58,0,3.83,False,True,True,-2.98,0.08,-4.69,0.97,35.03,37.93,0.94,68.23,True,True
CC1(CNc2cc(C3CCCCC3)ncn2)CS(=O)(=O)CCO1,339.46,2.14,1,6,1,81.18,4,0.9,0,3.66,False,False,False,-3.5,0.54,-4.98,0.91,31.11,32.74,0.93,82.09,False,True
O=C(CSc1nnnn1-c1ccccc1)C1CCS(=O)(=O)C1,338.41,0.76,0,7,2,94.81,5,0.74,0,2.91,False,False,False,-3.25,0.08,-4.85,0.93,57.18,41.46,0.9,82.87,False,True
CS(=O)(=O)NC1CC(CNc2nccnc2C(=O)c2ccccc2)C1,360.44,1.45,2,6,2,101.05,7,0.72,0,2.54,False,False,True,-3.79,0.57,-4.94,0.89,53.31,45.16,0.9,88.37,True,True
O=C(CNc1ncccn1)Nc1ccc(C(F)(F)F)s1,302.28,2.61,2,5,2,66.91,4,0.91,0,2.66,False,False,False,-3.72,0.57,-4.75,0.79,56.53,36.84,0.84,90.91,False,True
COc1ccc(C(=O)NNC(=O)NC2(C)CC(OC)(OC)C2)cc1O,353.38,0.89,4,6,1,118.15,5,0.46,0,2.8,False,True,True,-2.48,0.06,-5.37,0.36,31.23,19.65,0.34,58.6,True,True
CS(=O)(=O)CCC1CC(OC(=O)c2ncc(C(F)(F)F)cn2)C1,352.33,1.87,0,6,1,86.22,5,0.75,0,2.91,False,False,False,-2.87,0.09,-4.45,0.93,62.0,39.23,0.94,76.42,False,True
Cc1nc(CSCc2ncc(Cl)cc2Br)co1,333.64,4.23,0,4,2,38.92,4,0.84,0,2.92,False,False,False,-3.96,0.38,-4.63,0.97,99.53,69.78,0.99,92.06,False,True
Cn1ccnc1SCCNC(=O)C=Cc1cc(C(=O)O)co1,321.36,1.63,2,5,2,97.36,7,0.46,0,2.84,False,True,False,-2.65,0.07,-5.26,0.27,13.89,3.11,0.07,73.52,True,True
CC(NC(=O)N(C)CC(O)c1cccs1)c1nccs1,311.43,2.64,2,5,2,65.46,5,0.89,0,3.38,False,False,False,-1.58,0.42,-4.77,0.78,75.75,40.43,0.84,59.6,False,True
Cc1ccc(CSCCNS(=O)(=O)c2ccc(NCc3cccc(SC(F)(F)F)c3)nc2)cc1,527.66,5.83,2,6,3,71.09,11,0.24,0,2.61,False,True,False,-5.79,0.92,-5.25,0.7,67.87,91.09,0.89,103.23,True,True
Cc1ccc(C2CC(C(=O)NS(=O)(=O)C3(C(F)F)CC3)=NO2)cc1,358.37,2.06,1,5,1,84.83,5,0.87,0,3.61,False,False,False,-4.21,0.14,-4.85,0.81,19.44,27.58,0.93,97.27,False,True
CC1CN(S(C)(=O)=O)CCN1Cc1csc(COc2ccccc2)n1,381.52,2.19,0,6,2,62.74,6,0.77,0,2.78,False,False,False,-2.99,0.86,-4.72,0.97,78.79,59.92,0.97,76.28,False,True
NS(=O)(=O)C1(COC(=O)C=Cc2ccccc2OCC2CCCCC2)CCC1,407.53,3.41,1,5,1,95.69,8,0.53,0,2.72,False,True,False,-4.74,0.76,-4.76,0.95,105.17,103.5,0.94,101.82,True,True
Cc1cc(F)c(CSCc2cnc(C(C)C)s2)cc1[N+](=O)[O-],340.45,5.06,0,5,2,56.03,6,0.54,0,2.83,False,True,False,-5.19,0.5,-4.51,0.89,158.93,138.77,0.97,98.6,True,True
CC(C)N(CC(O)c1ccccc1)C(=O)c1ccn2nnnc2c1,325.37,1.71,1,5,3,83.62,5,0.77,0,3.02,False,False,False,-3.53,0.26,-5.1,0.84,73.5,64.12,0.83,75.16,False,True
O=C(COC(=O)C#Cc1c(F)cccc1F)NC1CCS(=O)(=O)C1,357.33,0.16,1,5,1,89.54,3,0.62,0,3.19,False,True,True,-3.26,0.06,-4.23,0.85,38.83,19.99,0.8,82.68,True,True
CC1CN(Cc2ccccc2)CC(C)N(C(=O)c2ncc(Br)cn2)C1,403.32,3.22,0,4,2,49.33,3,0.79,0,3.14,False,False,False,-4.0,0.79,-4.81,0.97,63.91,58.89,0.96,89.45,False,True
N=S(=O)(c1ccc(-c2c[nH]nc2-c2ccccn2)cc1)C1CC1,324.41,3.71,2,4,3,82.49,4,0.77,0,3.41,False,False,False,-3.22,0.34,-5.62,0.44,13.1,7.13,0.53,81.43,False,False
O=C(OCC1CCS(=O)(=O)CC1)c1ccc(-c2ccccc2)nn1,346.41,2.13,0,6,2,86.22,4,0.79,0,2.34,False,False,False,-3.39,0.15,-4.53,0.95,80.88,51.06,0.91,87.56,False,True
Cc1ccnc(F)c1NC(=O)Cc1cc(F)ncc1Br,342.14,3.01,1,3,2,54.88,3,0.87,0,2.75,False,True,False,-3.0,0.11,-4.3,0.87,37.27,29.76,0.92,69.89,True,True
CC1(CNC(=O)C2(C3CCCCC3)CC2)CC(C(=O)O)=NO1,308.38,2.08,2,4,0,87.99,5,0.81,0,3.57,False,False,False,-2.84,0.14,-5.33,0.53,4.9,16.36,0.28,76.15,False,True
O=S1(=O)CC(CSCc2csc(C3CCCCC3)n2)C1,331.53,3.47,0,5,1,47.03,5,0.83,0,2.81,False,False,False,-4.01,0.4,-4.51,0.87,87.79,58.15,0.94,91.74,False,True
COc1cc(CN(C=O)Cc2cc3sccc3s2)ccc1[N+](=O)[O-],362.43,4.04,0,6,3,72.68,7,0.36,0,2.9,False,True,False,-5.16,0.64,-4.53,0.88,122.45,103.42,0.96,101.27,True,True
CS(=O)(=O)C1CC(CN2CCC(=O)N(CC3(C#N)CCCCC3)C2=O)C1,381.5,1.94,0,5,0,98.55,5,0.72,0,3.33,False,False,False,-2.84,0.43,-4.53,0.93,38.59,40.76,0.91,52.92,False,True
Cc1ccccc1OCCCSCc1csc(-c2c(Cl)cccc2Cl)n1,424.42,7.13,0,4,3,22.12,8,0.36,0,2.31,False,True,False,-6.77,0.58,-4.83,0.87,146.63,139.21,0.89,105.0,True,True
CC(C)Cc1cc(CSCc2cc(Br)cc(Br)c2)no1,419.18,5.83,0,3,2,26.03,6,0.59,0,2.68,False,False,False,-6.09,0.51,-4.86,0.91,125.78,116.06,0.96,98.14,True,True
Cc1ccsc1NC(=O)Nc1ncc(-c2cnccn2)s1,317.4,3.61,2,6,3,79.8,3,0.77,0,2.69,False,False,False,-4.55,0.57,-4.91,0.45,74.27,59.26,0.91,95.67,False,True
CC(C)C(CC(=O)N(C)Cc1ccc(Cl)cc1F)c1ccon1,338.81,4.26,0,3,2,46.34,6,0.79,0,3.19,False,False,False,-3.83,0.81,-4.39,0.95,104.79,84.47,0.98,82.46,False,True
Clc1ccc(OCCc2nc(-c3cnccn3)no2)cc1,302.72,2.8,0,6,3,73.93,5,0.72,0,2.17,False,False,False,-4.4,0.56,-4.68,0.93,78.89,50.05,0.99,95.72,False,True
CC1(C)CC(N)CC(Nc2ccc3c(c2)CS(=O)(=O)C3)C1,308.45,2.43,2,4,1,72.19,2,0.88,0,3.77,False,False,False,-2.04,0.56,-5.27,0.75,-1.61,-17.48,0.76,53.59,False,False
Cc1cc(CNC(=S)NCc2cc(I)c(F)cc2F)no1,423.23,3.03,2,3,2,50.09,4,0.45,0,2.69,False,True,False,-4.47,0.54,-4.71,0.95,76.88,68.05,0.99,92.44,True,True
N#Cc1cc(Oc2ccnc(Cc3ccc(F)cc3)n2)cc2ccccc12,355.37,5.02,0,4,4,58.8,4,0.52,0,2.35,False,False,False,-6.34,0.58,-4.5,0.71,92.92,68.03,0.94,103.66,True,True
COc1cc(COC(=O)CNc2ccccc2)ncc1Cl,306.75,2.9,1,5,2,60.45,6,0.83,0,2.12,False,False,False,-3.41,0.57,-4.66,0.99,108.81,77.86,0.99,88.69,False,True
CN(Cc1cc(CO)no1)Cc1nscc1Br,318.2,2.02,1,6,2,62.39,5,0.91,0,3.22,False,False,False,-1.87,0.27,-4.78,0.92,69.21,43.02,0.94,63.28,False,True
FC1(F)C(CSC(c2ccccc2)c2ccccn2)C1c1ccccc1,367.46,5.95,0,2,3,12.89,6,0.53,0,3.62,False,False,False,-5.1,0.69,-4.83,0.88,108.12,90.87,0.9,97.87,True,True
COC(=O)c1cc2ccccc2cc1SCc1c[nH]c(-c2ccccc2)n1,374.47,5.31,1,4,4,54.98,5,0.38,0,2.52,False,False,False,-6.28,0.78,-4.92,0.83,140.14,132.04,0.92,107.95,True,True
COc1ccc(C=CC(=O)Nc2cnnc(Cl)c2Br)nc1,369.61,2.95,1,5,2,77.0,4,0.84,0,2.84,False,True,False,-4.69,0.15,-4.87,0.5,73.8,57.74,0.85,95.51,True,True
Cc1cc(C)cc(C(=O)N(N=Cc2cc(CF)on2)C(C)(C)C)c1,331.39,4.04,0,4,2,58.7,4,0.63,0,3.3,False,True,False,-5.77,0.35,-4.77,0.84,142.82,146.59,0.98,100.58,True,True
COc1cccc(CCC(=O)Nc2ccc(Br)c(C)c2I)n1,475.12,4.34,1,3,2,51.22,5,0.66,0,2.5,False,True,False,-5.52,0.53,-4.7,0.93,109.46,87.83,0.98,99.28,True,True
Cn1cc(Cl)cc1CNC(=O)NCc1ccnc(-c2cncnc2)c1,356.82,2.53,2,4,3,84.73,5,0.74,0,2.66,False,False,False,-2.61,0.64,-5.54,0.56,35.3,24.31,0.82,71.65,False,True
COc1ccc(CC(=O)NOCc2ccc([Si](C)(C)C)cc2)cc1OC,373.53,3.04,1,4,2,56.79,8,0.57,0,2.33,False,True,False,-5.71,0.76,-4.77,0.74,119.49,120.52,0.98,102.69,True,True
CC1(C(=O)NCc2ncc(Br)cn2)CCCNS1(=O)=O,363.24,0.33,2,5,1,101.05,3,0.81,0,3.84,False,False,False,-1.34,0.06,-5.38,0.91,9.77,3.87,0.83,49.79,False,False
COC(=O)C1C(C(=O)OC)C1C(=O)OCc1cc(C2CCCC2)on1,351.36,1.58,0,8,1,104.93,6,0.56,0,3.44,False,True,False,-3.22,0.19,-4.41,0.91,66.95,54.42,0.96,83.79,True,True
O=S1(=O)CCC(CSc2ncc(Oc3ccccc3)cn2)C1,336.44,2.8,0,6,2,69.15,5,0.62,0,2.97,False,False,False,-3.87,0.11,-4.42,0.91,74.68,33.53,0.92,91.59,False,True
CC1=C(C(=O)Nc2nc(Cc3ccccc3)ns2)CCCC1,313.43,3.96,1,4,2,54.88,4,0.93,0,2.49,False,False,False,-5.06,0.53,-4.67,0.87,101.2,83.79,0.97,100.6,False,True
CCSc1snc(OCC(=O)Nc2ccc(NC3CCCCC3)cc2)c1C#N,416.57,4.89,2,7,2,87.04,8,0.6,0,2.64,False,False,False,-6.72,0.44,-4.9,0.41,98.52,108.53,0.86,105.43,False,True
Fc1cnc(-n2cc(-c3occc3Br)nn2)nc1,310.09,2.22,0,5,3,69.63,2,0.73,0,3.07,False,False,False,-4.13,0.09,-4.61,0.94,66.33,51.61,0.97,90.77,False,True
Cc1ccc(Cl)c(Br)c1CC(=O)N(C)Cc1cnc(-n2cncn2)nc1,435.71,2.98,0,5,3,76.8,5,0.62,0,2.84,False,False,False,-3.73,0.34,-4.91,0.69,74.62,63.91,0.94,87.81,False,True
COc1ccc(C=O)c(OCC(=O)NNc2ccc(F)cc2C)c1,332.33,2.48,2,5,2,76.66,7,0.6,0,2.19,False,True,True,-4.72,0.58,-4.67,0.9,87.6,72.26,0.96,95.38,True,True
COc1ccc(-c2c[nH]c(-c3cccc(P(C)(C)=O)c3)n2)cc1,326.34,4.0,1,3,3,54.98,4,0.74,0,2.71,False,True,False,-4.45,0.81,-4.87,0.77,42.98,40.77,0.95,94.05,True,True
COc1cc(C)sc1C(=O)NS(=O)(=O)CC1(N)CC1,304.39,0.62,2,6,1,98.49,5,0.83,0,3.02,False,False,False,-2.15,0.17,-4.9,0.85,18.61,-1.32,0.77,69.36,False,True
Cn1cc(SC(F)(F)C(=O)NCc2cc([N+](=O)[O-])ccc2Cl)cn1,376.77,2.98,1,5,2,90.06,6,0.48,0,2.87,False,True,False,-4.06,0.33,-4.85,0.84,63.31,67.51,0.97,90.2,True,True
CCc1ccc(COC(=O)c2ccnc(Cn3cnnc3)c2)c(F)c1,340.36,2.78,0,5,3,69.9,6,0.65,0,2.57,False,False,False,-3.68,0.63,-4.85,0.83,112.96,89.45,0.97,90.33,False,True
C=CCN1CCN(C(=O)NCc2nnc(-c3ccccc3)o2)CC1,327.39,1.75,1,5,2,74.5,5,0.85,0,2.23,False,True,False,-3.29,0.51,-4.84,0.96,47.43,41.82,0.87,79.49,True,True
O=C(NC1CCC=CC1O)c1ccc(Oc2cccc(Br)c2)s1,394.29,4.11,2,4,2,58.56,4,0.77,0,3.52,False,True,False,-4.62,0.6,-4.52,0.78,44.56,18.4,0.93,94.64,True,True
CCn1cnnc1NCc1cc(Br)cc(OC)c1OC,341.21,2.69,1,5,2,61.2,6,0.88,0,2.6,False,False,False,-2.95,0.46,-4.65,0.87,81.05,57.11,0.94,78.24,False,True
O=C(Nc1ccc(Cl)c(O)c1)Nc1cccc2c1COB2O,318.53,1.91,4,4,2,90.82,2,0.64,0,2.74,False,True,True,-4.58,0.43,-5.21,0.21,42.8,31.9,0.74,94.97,True,True
O=C(NC(=S)Nc1cccc(COC2CCCCC2)c1)C1CCOC1,362.5,3.39,2,4,1,59.59,5,0.79,0,2.79,False,True,False,-5.1,0.63,-4.76,0.93,67.61,60.64,0.96,97.22,True,True
Cc1cc(SCC(O)(CC(Cl)(Cl)Cl)c2cc(Cl)cc(Cl)c2)ccn1,445.63,6.44,1,3,2,33.12,5,0.42,0,3.54,False,True,False,-5.32,0.51,-5.05,0.78,81.72,78.01,0.96,94.19,True,True
CCc1cscc1NC(=O)Nc1cc(C(C)(C)C)ns1,309.46,4.71,2,4,2,54.02,3,0.86,0,3.08,False,False,False,-5.67,0.44,-4.88,0.53,143.8,140.45,0.94,101.98,False,True
CSc1cc(CN(C)Cc2cc(Br)ccc2F)n(C)n1,358.28,3.68,0,3,2,21.06,5,0.76,0,2.7,False,False,False,-4.02,0.9,-4.61,0.98,91.09,79.72,0.98,87.53,False,True
CC(Cc1ccccc1)CN(CCOc1ncccn1)Cc1ccc(CC#N)cc1,400.53,4.3,0,5,3,62.04,11,0.48,0,2.9,False,False,False,-4.38,0.99,-4.97,0.89,90.09,83.59,0.85,93.45,True,True
Cn1ncc(NC(=O)c2nc(I)cs2)n1,335.13,1.13,1,5,2,72.7,2,0.84,0,3.32,False,True,False,-3.59,0.17,-4.8,0.91,26.38,6.37,0.94,87.78,True,True
CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(C)(C)N,380.45,4.88,1,3,2,38.49,8,0.71,0,2.82,False,False,False,-3.48,0.98,-4.73,0.93,31.28,17.22,0.93,88.64,False,True
Cc1ccc(N(C)C(=O)Cc2nnn(C(C)(C)C)n2)cc1C,301.39,2.25,0,4,2,63.91,3,0.87,0,2.74,False,False,False,-2.95,0.25,-4.88,0.86,34.68,31.63,0.98,77.56,False,True
Fc1ccc(Oc2ncc(-c3cnc(-c4ccccc4)nc3)cn2)c(F)c1,362.34,4.67,0,5,4,60.79,4,0.53,0,2.25,False,False,False,-5.59,0.66,-4.58,0.85,63.44,47.28,0.98,99.92,False,True
O=C(NCC1(CO)CCS(=O)(=O)CC1)NC1(C(F)(F)F)Oc2cc(Cl)c(Cl)cc2O1,493.29,2.47,3,6,1,113.96,4,0.59,0,3.36,False,False,False,-3.8,0.46,-4.85,0.6,0.3,-0.0,0.78,88.41,False,False
CN(Cc1nc(-c2ccccc2)c[nH]1)C(=O)NC1(C)CC=CCC1,324.43,3.72,2,2,2,61.02,4,0.84,0,3.59,False,True,False,-3.96,0.8,-4.87,0.88,65.98,53.81,0.94,93.07,True,True
Cc1ccnnc1COC(=O)c1ccncc1I,355.13,2.14,0,5,2,64.97,3,0.62,0,2.73,False,True,False,-2.85,0.19,-4.62,0.94,112.34,80.73,0.98,79.87,True,True
O=C(OCCOP1(=O)CC=CC1)C(c1cccnc1)C1CCCCC1,363.39,4.15,0,5,1,65.49,7,0.32,0,3.77,False,True,False,-2.92,0.57,-4.58,0.96,63.69,59.16,0.97,71.04,True,True
COC(=O)C1(OC)CC(C(=O)Nc2ccc(NC3CCC(F)(F)CC3)cc2)C1,396.43,3.58,2,5,1,76.66,6,0.72,0,2.81,False,False,False,-4.4,0.72,-4.81,0.77,29.41,29.8,0.94,91.86,False,True
O=C(NCc1cc(OC2CCC2)ccn1)NNC(=O)c1ncon1,332.32,0.54,3,7,2,131.27,5,0.68,0,2.91,False,True,False,-3.6,0.07,-5.36,0.8,24.89,21.5,0.71,84.33,True,True
COC(=O)Cc1nnc(CNC(=O)C(F)=Cc2cocn2)s1,326.31,0.87,1,8,2,107.21,6,0.62,0,3.44,False,True,False,-1.41,0.02,-4.97,0.82,12.09,11.57,0.74,56.2,True,False
CC(C)c1nc(C(=O)C=Cc2c(Cl)cncc2Cl)co1,311.17,4.4,0,4,2,55.99,4,0.62,0,2.93,False,True,False,-5.16,0.29,-4.58,0.75,127.67,108.25,0.97,97.65,True,True
CC(C(=O)Nc1cc(Cl)cc(Cl)c1)C(=O)OCc1cn(C)nc1Cl,390.65,3.7,1,4,2,73.22,5,0.62,0,3.13,False,True,False,-4.56,0.5,-4.79,0.82,66.5,58.46,0.95,93.77,True,True
COc1ccc(-c2nnc(Nc3c[nH]nc3OCC(F)F)s2)cc1,353.35,3.32,2,7,3,84.95,7,0.68,0,2.91,False,False,False,-5.36,0.51,-4.92,0.47,76.9,72.22,0.92,100.38,False,True
CC(CC1CCCS1(=O)=O)Nc1cnccc1N1CCCCC1,337.49,2.84,1,5,1,62.3,5,0.9,0,3.65,False,False,False,-3.6,0.85,-4.65,0.92,54.83,43.39,0.95,71.84,False,True
NC(=NOCc1cnc(C(F)(F)F)nc1)c1cc(Br)cc(Br)c1,454.04,3.86,1,4,2,73.39,4,0.43,0,2.87,False,True,False,-3.77,0.58,-4.88,0.92,3.14,9.42,0.98,89.87,True,False
COc1ccc(CCC(=O)OCc2cc(I)cc(I)c2)cn1,523.11,3.98,0,4,2,48.42,6,0.43,0,2.47,False,True,False,-5.75,0.64,-4.78,0.94,100.89,88.65,0.98,99.03,True,True
COc1cccc(NCC(=O)N(C)CCc2ncccn2)c1,300.36,1.6,1,5,2,67.35,7,0.84,0,2.21,False,False,False,-1.74,0.45,-4.81,0.91,73.99,40.8,0.91,51.59,False,True
O=c1[nH]c2cc(F)ccc2cc1CSCc1ccsc1,305.4,4.16,1,3,3,32.86,4,0.78,0,2.47,False,False,False,-4.59,0.63,-4.62,0.92,123.49,83.27,0.94,98.27,False,True
Cn1nccc1C(F)C(=O)NCC(F)(F)c1ccc(Br)cc1,376.18,3.1,1,2,2,46.92,5,0.87,0,3.32,False,False,False,-3.4,0.63,-4.64,0.89,10.39,13.34,0.97,81.73,False,True
CCOC(=O)C1CSCN1C(=O)C(=NOC)c1ccco1,312.35,1.09,0,7,1,81.34,5,0.46,0,3.39,False,True,False,-2.31,0.03,-4.38,0.94,124.56,98.69,0.96,62.09,True,True
CN(Cc1ncc(Br)s1)C(=O)Nc1ccc(Cl)cc1,360.66,4.22,1,3,2,45.23,3,0.89,0,2.29,False,False,False,-4.46,0.41,-4.75,0.92,96.56,72.39,0.98,95.28,False,True
CC(C)(C)OC(=O)NC1(C(=O)NCc2ccc(OC3CCCC3)cc2)COC1,390.48,2.92,2,5,1,85.89,6,0.78,0,2.48,False,False,False,-4.88,0.7,-4.91,0.82,90.75,108.99,0.96,99.28,False,True
CN(C(=O)C(C)(C)c1ccc(Cl)cc1)c1ncc(Br)cn1,368.66,3.83,0,3,2,46.09,3,0.83,0,2.52,False,False,False,-5.06,0.43,-4.61,0.89,95.75,79.11,0.98,97.07,False,True
CP(C)(=O)CN1CCC(C(=O)OCc2csc(CCc3ccccc3)n2)CC1,420.52,4.26,0,6,2,59.5,8,0.47,0,2.62,False,True,False,-2.93,0.92,-4.7,0.94,66.59,51.5,0.95,81.15,True,True
Cn1ncc(C(=O)Nc2ccon2)c1I,318.07,1.26,1,4,2,72.95,2,0.85,0,2.94,False,True,False,-3.58,0.1,-4.71,0.88,57.13,29.49,0.82,80.21,True,True
O=C(CC1CS(=O)(=O)CCN1)Nc1nc(=O)c2ccccc2s1,353.43,0.37,2,7,2,105.23,3,0.83,0,3.18,False,False,False,-2.68,0.11,-5.26,0.69,23.77,0.32,0.35,68.48,False,True
